# Reference library (divisor): mut
# Comparison library (numerator): wt
Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	mut_R1 raw countings	mut_R2 raw countings	wt_R1 raw countings	wt_R2 raw countings	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
sense	NC_003901.1	Protein Homology	CDS	437614	438093	.	-	0	ID=cds-WP_011032286.1;Parent=gene-MM_RS01810;Dbxref=GenBank:WP_011032286.1,GeneID:1478674;Name=WP_011032286.1;Ontology_term=GO:0006935,GO:0007165;gbkey=CDS;go_process=chemotaxis|0006935||IEA,signal transduction|0007165||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032286.1;locus_tag=MM_RS01810;product=chemotaxis protein CheW;protein_id=WP_011032286.1;transl_table=11	9.5	14.0	7.5	17.5	12.4987403520927	0.380254882447678	0.319994441559862	1.18831714886692	0.234708483951221	NA
sense	NC_003901.1	Protein Homology	CDS	438177	440174	.	-	0	ID=cds-WP_011032287.1;Parent=gene-MM_RS01815;Dbxref=GenBank:WP_011032287.1,GeneID:1478675;Name=WP_011032287.1;Ontology_term=GO:0007165,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_process=signal transduction|0007165||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032287.1;locus_tag=MM_RS01815;product=methyl-accepting chemotaxis protein;protein_id=WP_011032287.1;transl_table=11	24.375	54.5	24.5	23.0	29.9467705125125	0.100152174013909	0.315495457729475	0.317444107546503	0.750906643517368	NA
sense	NC_003901.1	Protein Homology	CDS	440699	441067	.	+	0	ID=cds-WP_011032288.1;Parent=gene-MM_RS01820;Dbxref=GenBank:WP_011032288.1,GeneID:1478676;Name=WP_011032288.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032288.1;locus_tag=MM_RS01820;product=DsrE family protein;protein_id=WP_011032288.1;transl_table=11	155.0	254.0	131.0	200.0	181.745893929752	0.452478163971805	0.211432176644966	2.14006293248166	0.0323496811915009	0.135310105357832
sense	NC_003901.1	Protein Homology	CDS	441695	442951	.	+	0	ID=cds-WP_011032289.1;Parent=gene-MM_RS01825;Dbxref=GenBank:WP_011032289.1,GeneID:1478677;Name=WP_011032289.1;Ontology_term=GO:0008299,GO:0004420,GO:0005515;gbkey=CDS;gene=hmgA;go_function=hydroxymethylglutaryl-CoA reductase (NADPH) activity|0004420||IEA,protein binding|0005515||IEA;go_process=isoprenoid biosynthetic process|0008299||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032289.1;locus_tag=MM_RS01825;product=hydroxymethylglutaryl-CoA reductase (NADPH);protein_id=WP_011032289.1;transl_table=11	183.0	241.5	94.0	133.0	152.863570385912	-0.0817346163872291	0.217665330473315	-0.375505902614332	0.707284257429427	0.856184944849912
sense	NC_003901.1	Protein Homology	CDS	443363	443773	.	+	0	ID=cds-WP_011032290.1;Parent=gene-MM_RS01830;Dbxref=GenBank:WP_011032290.1,GeneID:1478678;Name=WP_011032290.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032290.1;locus_tag=MM_RS01830;product=DUF1699 family protein;protein_id=WP_011032290.1;transl_table=11	234.0	322.5	216.0	267.0	262.77498404421	0.565382960627807	0.196861194956593	2.87198785292587	0.00407898645750485	0.030019275017637
sense	NC_003901.1	Protein Homology	CDS	443958	445256	.	-	0	ID=cds-WP_011032291.1;Parent=gene-MM_RS01835;Dbxref=GenBank:WP_011032291.1,GeneID:1478679;Name=WP_011032291.1;Ontology_term=GO:0000162,GO:0006568,GO:0004834,GO:0030170;gbkey=CDS;go_function=tryptophan synthase activity|0004834||IEA,pyridoxal phosphate binding|0030170||IEA;go_process=tryptophan biosynthetic process|0000162||IEA,tryptophan metabolic process|0006568||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032291.1;locus_tag=MM_RS01835;product=TrpB-like pyridoxal phosphate-dependent enzyme;protein_id=WP_011032291.1;transl_table=11	235.2	291.0	122.2	205.0	202.674494879922	0.0880496113502557	0.202811776302748	0.434144471072622	0.664183533596449	0.836923074193705
sense	NC_003901.1	Protein Homology	CDS	445717	447063	.	-	0	ID=cds-WP_048040039.1;Parent=gene-MM_RS01840;Dbxref=GenBank:WP_048040039.1,GeneID:1478680;Name=WP_048040039.1;Ontology_term=GO:0009228,GO:0008902,GO:0008972;gbkey=CDS;gene=thiD;go_function=hydroxymethylpyrimidine kinase activity|0008902||IEA,phosphomethylpyrimidine kinase activity|0008972||IEA;go_process=thiamine biosynthetic process|0009228||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411030.1;locus_tag=MM_RS01840;product=bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase;protein_id=WP_048040039.1;transl_table=11	134.0	202.25	99.0	121.75	134.935356257529	0.200001637941081	0.229230950219168	0.872489677985715	0.382941296781899	0.635143717068268
sense	NC_003901.1	Protein Homology	CDS	447635	447853	.	+	0	ID=cds-WP_011032293.1;Parent=gene-MM_RS01845;Dbxref=GenBank:WP_011032293.1,GeneID:1478681;Name=WP_011032293.1;Ontology_term=GO:0006396;gbkey=CDS;go_process=RNA processing|0006396||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011023130.1;locus_tag=MM_RS01845;product=LSm family protein;protein_id=WP_011032293.1;transl_table=11	1114.0	1651.0	995.0	1533.0	1325.42626242402	0.64545995955985	0.147812782274896	4.36673980170032	1.26114814730296e-05	0.000265173222291836
sense	NC_003901.1	Protein Homology	CDS	447995	448165	.	+	0	ID=cds-WP_011032294.1;Parent=gene-MM_RS01850;Dbxref=GenBank:WP_011032294.1,GeneID:1478682;Name=WP_011032294.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011308409.1;locus_tag=MM_RS01850;product=50S ribosomal protein L37e;protein_id=WP_011032294.1;transl_table=11	5605.5	7485.0	3375.0	4540.5	5022.55980311664	0.092832831745639	0.141980954579617	0.653840031013329	0.513214872991043	0.743794005950337
sense	NC_003901.1	Protein Homology	CDS	448215	449672	.	+	0	ID=cds-WP_011032295.1;Parent=gene-MM_RS01855;Dbxref=GenBank:WP_011032295.1,GeneID:1478683;Name=WP_011032295.1;Ontology_term=GO:0009113,GO:0004044;gbkey=CDS;gene=purF;go_function=amidophosphoribosyltransferase activity|0004044||IEA;go_process=purine nucleobase biosynthetic process|0009113||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032295.1;locus_tag=MM_RS01855;product=amidophosphoribosyltransferase;protein_id=WP_011032295.1;transl_table=11	2543.5	3678.0	1001.0	1788.5	2033.01706237138	-0.348939068422325	0.146838456722601	-2.37634660708483	0.0174850296602	0.0877878134544522
sense	NC_003901.1	Protein Homology	CDS	449764	450162	.	-	0	ID=cds-WP_011032296.1;Parent=gene-MM_RS01860;Dbxref=GenBank:WP_011032296.1,GeneID:1478684;Name=WP_011032296.1;Ontology_term=GO:0003824,GO:0005737;gbkey=CDS;go_component=cytoplasm|0005737||IEA;go_function=catalytic activity|0003824||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032296.1;locus_tag=MM_RS01860;product=secondary thiamine-phosphate synthase enzyme YjbQ;protein_id=WP_011032296.1;transl_table=11	35.0	56.0	17.0	31.0	31.8697470858419	-0.0798585832066913	0.308980967099899	-0.258457936604462	0.796053508024831	NA
sense	NC_003901.1	GeneMarkS-2+	CDS	451178	451327	.	-	0	ID=cds-WP_015411033.1;Parent=gene-MM_RS18200;Dbxref=GenBank:WP_015411033.1,GeneID:43445788;Name=WP_015411033.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS18200;product=hypothetical protein;protein_id=WP_015411033.1;transl_table=11	10.0	10.0	14.0	12.0	12.753354851934	0.513655644771055	0.319267141167501	1.60885847160065	0.107647291916236	NA
sense	NC_003901.1	Protein Homology	CDS	451470	452906	.	-	0	ID=cds-WP_011032298.1;Parent=gene-MM_RS01870;Dbxref=GenBank:WP_011032298.1,GeneID:1478686;Name=WP_011032298.1;Ontology_term=GO:0055085,GO:0015297,GO:0042910,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=antiporter activity|0015297||IEA,xenobiotic transmembrane transporter activity|0042910||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032298.1;locus_tag=MM_RS01870;product=MATE family efflux transporter;protein_id=WP_011032298.1;transl_table=11	633.0	856.8333333333334	318.5	452.0	526.889359855497	-0.128383544639245	0.166105454007033	-0.772903848381819	0.439579287028445	0.693568383174315
sense	NC_003901.1	Protein Homology	CDS	452988	453317	.	-	0	ID=cds-WP_011032299.1;Parent=gene-MM_RS01875;Dbxref=GenBank:WP_011032299.1,GeneID:1478687;Name=WP_011032299.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032299.1;locus_tag=MM_RS01875;product=TrmB family transcriptional regulator;protein_id=WP_011032299.1;transl_table=11	264.5	350.5	176.5	218.0	244.299759059227	0.168971030590363	0.199269122767494	0.847953903964927	0.396463642789272	0.648576144956901
sense	NC_003901.1	Protein Homology	CDS	453358	453816	.	-	0	ID=cds-WP_015411035.1;Parent=gene-MM_RS01880;Dbxref=GenBank:WP_015411035.1,GeneID:1478688;Name=WP_015411035.1;Ontology_term=GO:0006355,GO:0003700;gbkey=CDS;go_function=DNA-binding transcription factor activity|0003700||IEA;go_process=regulation of DNA-templated transcription|0006355||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411035.1;locus_tag=MM_RS01880;product=MarR family winged helix-turn-helix transcriptional regulator;protein_id=WP_015411035.1;transl_table=11	23.75	36.0	17.0	24.0	24.4032176307097	0.160046187770644	0.317647943045221	0.503847707107171	0.614368400074164	NA
sense	NC_003901.1	Protein Homology	CDS	454209	454619	.	-	0	ID=cds-WP_155395194.1;Parent=gene-MM_RS01885;Dbxref=GenBank:WP_155395194.1,GeneID:1478689;Name=WP_155395194.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032301.1;locus_tag=MM_RS01885;product=hypothetical protein;protein_id=WP_155395194.1;transl_table=11	39.0	71.0	26.0	49.0	43.6423849558338	0.177226623811438	0.295518189825129	0.59971477192761	0.548696341786512	NA
sense	NC_003901.1	Protein Homology	CDS	454925	456394	.	-	0	ID=cds-WP_011032302.1;Parent=gene-MM_RS01890;Dbxref=GenBank:WP_011032302.1,GeneID:1478690;Name=WP_011032302.1;Ontology_term=GO:0055085,GO:0015297,GO:0042910,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=antiporter activity|0015297||IEA,xenobiotic transmembrane transporter activity|0042910||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032302.1;locus_tag=MM_RS01890;product=MATE family efflux transporter;protein_id=WP_011032302.1;transl_table=11	170.5	256.0	95.0	137.0	153.775200746783	-0.0492981011144339	0.218365542789485	-0.225759524532493	0.821388459092006	0.916700422107171
sense	NC_003901.1	Protein Homology	CDS	457434	458210	.	+	0	ID=cds-WP_048036586.1;Parent=gene-MM_RS01900;Dbxref=GenBank:WP_048036586.1,GeneID:1478692;Name=WP_048036586.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411038.1;locus_tag=MM_RS01900;product=rhodanese-like domain-containing protein;protein_id=WP_048036586.1;transl_table=11	125.0	185.0	56.0	49.0	93.1472052238464	-0.542738441581196	0.262943941216077	-2.06408422674092	0.0390097312178213	0.154919793237987
sense	NC_003901.1	Protein Homology	CDS	458507	459502	.	+	0	ID=cds-WP_011032305.1;Parent=gene-MM_RS01905;Dbxref=GenBank:WP_011032305.1,GeneID:1478693;Name=WP_011032305.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032305.1;locus_tag=MM_RS01905;product=hypothetical protein;protein_id=WP_011032305.1;transl_table=11	14817.25	13824.5	13583.0	8828.0	13405.9865470235	0.270610627106001	0.323063501169142	0.837639120874634	0.40223341441512	0.655065846333195
sense	NC_003901.1	Protein Homology	CDS	460059	461021	.	-	0	ID=cds-WP_080503016.1;Parent=gene-MM_RS01915;Dbxref=GenBank:WP_080503016.1,GeneID:1478695;Name=WP_080503016.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411039.1;locus_tag=MM_RS01915;product=PGF-pre-PGF domain-containing protein;protein_id=WP_080503016.1;transl_table=11	409.0769230769231	476.0	230.0	264.5	330.633793043273	-0.0114634427756536	0.196324400447288	-0.0583903108810534	0.953437732402612	0.974558188500138
sense	NC_003901.1	GeneMarkS-2+	CDS	461765	462097	.	+	0	ID=cds-WP_011032308.1;Parent=gene-MM_RS01920;Dbxref=GenBank:WP_011032308.1,GeneID:1478696;Name=WP_011032308.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS01920;product=hypothetical protein;protein_id=WP_011032308.1;transl_table=11	40.38055555555571	57.17582972583	17.251190476190455	28.264898989898974	32.3239865525206	-0.200036031766675	0.308034733215098	-0.64939440328306	0.516083480591293	NA
sense	NC_003901.1	Protein Homology	CDS	462142	462606	.	-	0	ID=cds-WP_011032309.1;Parent=gene-MM_RS01925;Dbxref=GenBank:WP_011032309.1,GeneID:1478697;Name=WP_011032309.1;Ontology_term=GO:0006313,GO:0004803;gbkey=CDS;gene=tnpA;go_function=transposase activity|0004803||IEA;go_process=DNA transposition|0006313||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032309.1;locus_tag=MM_RS01925;product=IS200/IS605-like element ISMma21 family transposase;protein_id=WP_011032309.1;transl_table=11	16.473015873015854	18.157142857142837	6.662698412698414	12.176587301587288	12.4482033094611	-0.0268656845983626	0.320150805993082	-0.0839157175163982	0.933123442867527	NA
sense	NC_003901.1	Protein Homology	CDS	462707	463789	.	+	0	ID=cds-WP_193334225.1;Parent=gene-MM_RS01930;Dbxref=GenBank:WP_193334225.1,GeneID:1478698;Name=WP_193334225.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032310.1;locus_tag=MM_RS01930;product=hypothetical protein;protein_id=WP_193334225.1;transl_table=11	193.0123737373741	212.0462481962486	65.39560994560989	130.57049062049094	137.64607283079	-0.248791874321158	0.231405708154104	-1.07513283188103	0.282315262074332	0.536829648112716
sense	NC_003901.1	Protein Homology	CDS	464319	465443	.	+	0	ID=cds-WP_011032311.1;Parent=gene-MM_RS01935;Dbxref=GenBank:WP_011032311.1,GeneID:1478699;Name=WP_011032311.1;Ontology_term=GO:0000166,GO:0016491;gbkey=CDS;go_function=nucleotide binding|0000166||IEA,oxidoreductase activity|0016491||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032311.1;locus_tag=MM_RS01935;product=Glu/Leu/Phe/Val family dehydrogenase;protein_id=WP_011032311.1;transl_table=11	537.5	729.5	571.0	614.0	633.335059223844	0.690673925299032	0.185135797392731	3.73063413465034	0.000190998421457568	0.00269493470305321
sense	NC_003901.1	Protein Homology	CDS	465615	467021	.	-	0	ID=cds-WP_011032312.1;Parent=gene-MM_RS01940;Dbxref=GenBank:WP_011032312.1,GeneID:1478700;Name=WP_011032312.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032312.1;locus_tag=MM_RS01940;product=acetate--CoA ligase family protein;protein_id=WP_011032312.1;transl_table=11	303.0	375.6666666666667	106.5	177.5	217.40437338038	-0.421247109605038	0.20059059693214	-2.10003417930675	0.035725834575897	0.14484658453575
sense	NC_003901.1	Protein Homology	CDS	467228	467584	.	-	0	ID=cds-WP_011032313.1;Parent=gene-MM_RS01945;Dbxref=GenBank:WP_011032313.1,GeneID:1478701;Name=WP_011032313.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032313.1;locus_tag=MM_RS01945;product=winged helix-turn-helix transcriptional regulator;protein_id=WP_011032313.1;transl_table=11	143.0	130.0	71.0	96.0	106.791736346944	0.0608967207624202	0.249868345791258	0.243715227591469	0.807451379014847	0.907895070038233
sense	NC_003901.1	Protein Homology	CDS	467731	468402	.	+	0	ID=cds-WP_048040033.1;Parent=gene-MM_RS01950;Dbxref=GenBank:WP_048040033.1,GeneID:1478702;Name=WP_048040033.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411042.1;locus_tag=MM_RS01950;product=NAD(P)/FAD-dependent oxidoreductase;protein_id=WP_048040033.1;transl_table=11	1841.5	2291.0	709.0	923.0	1307.23551935505	-0.488494606363337	0.155966479817925	-3.13204867439212	0.00173591093469699	0.0157851392933326
sense	NC_003901.1	Protein Homology	CDS	468460	468816	.	-	0	ID=cds-WP_011032315.1;Parent=gene-MM_RS01955;Dbxref=GenBank:WP_011032315.1,GeneID:1478703;Name=WP_011032315.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032315.1;locus_tag=MM_RS01955;product=winged helix-turn-helix transcriptional regulator;protein_id=WP_011032315.1;transl_table=11	475.0	519.0	194.0	472.0	391.917255469836	0.127297574879569	0.205071279076979	0.620747944093057	0.534765478742611	0.756250868174185
sense	NC_003901.1	Protein Homology	CDS	469092	469751	.	+	0	ID=cds-WP_011032316.1;Parent=gene-MM_RS01960;Dbxref=GenBank:WP_011032316.1,GeneID:1478704;Name=WP_011032316.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411044.1;locus_tag=MM_RS01960;product=NAD(P)/FAD-dependent oxidoreductase;protein_id=WP_011032316.1;transl_table=11	373.0	543.0	153.0	181.5	280.098256997789	-0.545331271020196	0.197807681790594	-2.75687610351505	0.00583564583506108	0.0389982125115461
sense	NC_003901.1	Protein Homology	CDS	470083	470421	.	+	0	ID=cds-WP_011032317.1;Parent=gene-MM_RS01965;Dbxref=GenBank:WP_011032317.1,GeneID:1478705;Name=WP_011032317.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032317.1;locus_tag=MM_RS01965;product=cupin domain-containing protein;protein_id=WP_011032317.1;transl_table=11	336.0	394.0	55.5	95.5	185.10784587528	-1.29287329635453	0.215910651603442	-5.9880014568671	2.12435161374152e-09	1.18759425791281e-07
sense	NC_003901.1	Protein Homology	CDS	470459	470803	.	+	0	ID=cds-WP_011032318.1;Parent=gene-MM_RS01970;Dbxref=GenBank:WP_011032318.1,GeneID:1478706;Name=WP_011032318.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411045.1;locus_tag=MM_RS01970;product=CGGC domain-containing protein;protein_id=WP_011032318.1;transl_table=11	82.0	130.0	21.5	29.5	55.8303697585462	-0.880120367377828	0.284175356517215	-3.09710306398265	0.00195421917570809	0.0173891172083162
sense	NC_003901.1	Protein Homology	CDS	471016	471477	.	+	0	ID=cds-WP_011032319.1;Parent=gene-MM_RS01975;Dbxref=GenBank:WP_011032319.1,GeneID:1478707;Name=WP_011032319.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032319.1;locus_tag=MM_RS01975;product=hypothetical protein;protein_id=WP_011032319.1;transl_table=11	308.0	425.8333333333333	131.5	195.0	241.826263228897	-0.32058903386677	0.194331413784197	-1.64970257573889	0.09900378313478	0.29007993592393
sense	NC_003901.1	Protein Homology	CDS	471552	471920	.	+	0	ID=cds-WP_011032320.1;Parent=gene-MM_RS01980;Dbxref=GenBank:WP_011032320.1,GeneID:1478708;Name=WP_011032320.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032320.1;locus_tag=MM_RS01980;product=ATP-binding protein;protein_id=WP_011032320.1;transl_table=11	353.8333333333333	474.0	100.0	110.16666666666666	223.861012951044	-0.999285562619906	0.211315348788669	-4.72888300990983	2.25758415644099e-06	5.85964030604817e-05
sense	NC_003901.1	Protein Homology	CDS	472177	472731	.	-	0	ID=cds-WP_011032321.1;Parent=gene-MM_RS01985;Dbxref=GenBank:WP_011032321.1,GeneID:1478709;Name=WP_011032321.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032321.1;locus_tag=MM_RS01985;product=hemerythrin domain-containing protein;protein_id=WP_011032321.1;transl_table=11	36.0	40.5	13.0	12.0	22.8274629840139	-0.425590596188664	0.320786406600589	-1.32671019541849	0.184604567061992	NA
sense	NC_003901.1	Protein Homology	CDS	472902	473264	.	+	0	ID=cds-WP_048036903.1;Parent=gene-MM_RS01990;Dbxref=GenBank:WP_048036903.1,GeneID:1478710;Name=WP_048036903.1;Ontology_term=GO:0051920;gbkey=CDS;go_function=peroxiredoxin activity|0051920||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011498430.1;locus_tag=MM_RS01990;product=carboxymuconolactone decarboxylase family protein;protein_id=WP_048036903.1;transl_table=11	158.0	155.0	76.0	106.0	118.797304638991	0.00347493010267558	0.240305035238253	0.0144604964237654	0.988462595253344	0.994621240706635
sense	NC_003901.1	Protein Homology	CDS	473430	474272	.	+	0	ID=cds-WP_011032323.1;Parent=gene-MM_RS01995;Dbxref=GenBank:WP_011032323.1,GeneID:1478711;Name=WP_011032323.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032323.1;locus_tag=MM_RS01995;product=TrmB family transcriptional regulator;protein_id=WP_011032323.1;transl_table=11	225.0	297.0	126.0	187.0	198.377592627906	0.0599613162249679	0.202910766806109	0.295505838200611	0.767607493134746	0.888554611783195
sense	NC_003901.1	Protein Homology	CDS	474484	475440	.	+	0	ID=cds-WP_048045986.1;Parent=gene-MM_RS02000;Dbxref=GenBank:WP_048045986.1,GeneID:1478712;Name=WP_048045986.1;Ontology_term=GO:0009094,GO:0004664;gbkey=CDS;gene=pheA;go_function=prephenate dehydratase activity|0004664||IEA;go_process=L-phenylalanine biosynthetic process|0009094||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032324.1;locus_tag=MM_RS02000;product=prephenate dehydratase;protein_id=WP_048045986.1;transl_table=11	507.25	575.25	196.0	314.5	367.012744658983	-0.277309349842948	0.181779673415923	-1.52552452445245	0.127128321358644	0.337232174212664
sense	NC_003901.1	Protein Homology	CDS	475505	476392	.	+	0	ID=cds-WP_011032325.1;Parent=gene-MM_RS02005;Dbxref=GenBank:WP_011032325.1,GeneID:1478713;Name=WP_011032325.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032325.1;locus_tag=MM_RS02005;product=DUF7502 family protein;protein_id=WP_011032325.1;transl_table=11	454.5	621.3333333333334	162.0	350.0	358.367889159464	-0.278695210597007	0.191256333363015	-1.45718160385323	0.145066257241891	0.365114813681537
sense	NC_003901.1	Protein Homology	CDS	476651	477625	.	+	0	ID=cds-WP_011032326.1;Parent=gene-MM_RS02010;Dbxref=GenBank:WP_011032326.1,GeneID:1478714;Name=WP_011032326.1;Ontology_term=GO:0005524,GO:0016887;gbkey=CDS;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032326.1;locus_tag=MM_RS02010;product=AAA family ATPase;protein_id=WP_011032326.1;transl_table=11	277.0	382.0	66.5	143.5	187.185021201414	-0.768421315332253	0.216832463091241	-3.5438481137804	0.000394332346897042	0.00479633528213264
sense	NC_003901.1	GeneMarkS-2+	CDS	477648	477797	.	+	0	ID=cds-WP_155395193.1;Parent=gene-MM_RS18205;Dbxref=GenBank:WP_155395193.1,GeneID:43445789;Name=WP_155395193.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS18205;product=hypothetical protein;protein_id=WP_155395193.1;transl_table=11	33.0	62.7	18.5	25.0	31.3964873599301	-0.201437703262436	0.311034967127721	-0.647636840071807	0.51721986383705	NA
sense	NC_003901.1	Protein Homology	CDS	477794	478675	.	+	0	ID=cds-WP_011032327.1;Parent=gene-MM_RS02015;Dbxref=GenBank:WP_011032327.1,GeneID:1478715;Name=WP_011032327.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011306918.1;locus_tag=MM_RS02015;product=DUF58 domain-containing protein;protein_id=WP_011032327.1;transl_table=11	290.0	409.5	134.5	190.0	234.843701352022	-0.264004388911585	0.196548706085571	-1.3432008491404	0.179206946794668	0.41453016116176
sense	NC_003901.1	Protein Homology	CDS	478678	480555	.	+	0	ID=cds-WP_011032328.1;Parent=gene-MM_RS02020;Dbxref=GenBank:WP_011032328.1,GeneID:1478716;Name=WP_011032328.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032328.1;locus_tag=MM_RS02020;product=vWA domain-containing protein;protein_id=WP_011032328.1;transl_table=11	506.5	695.6666666666666	201.5	371.2	403.882227718091	-0.262941839985993	0.176977456581919	-1.48573634780588	0.137348872386746	0.352512486147482
sense	NC_003901.1	Protein Homology	CDS	480552	483041	.	+	0	ID=cds-WP_011032329.1;Parent=gene-MM_RS02025;Dbxref=GenBank:WP_011032329.1,GeneID:1478717;Name=WP_011032329.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032329.1;locus_tag=MM_RS02025;product=vWA domain-containing protein;protein_id=WP_011032329.1;transl_table=11	1623.25	1964.25	696.0	1020.7	1227.38075295166	-0.248272476941136	0.150621859170988	-1.64831637524334	0.0992877661659134	0.29007993592393
sense	NC_003901.1	Protein Homology	CDS	483168	483764	.	-	0	ID=cds-WP_011032330.1;Parent=gene-MM_RS02030;Dbxref=GenBank:WP_011032330.1,GeneID:1478718;Name=WP_011032330.1;Ontology_term=GO:0016310,GO:0016301;gbkey=CDS;go_function=kinase activity|0016301||IEA;go_process=phosphorylation|0016310||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032330.1;locus_tag=MM_RS02030;product=diacylglycerol/polyprenol kinase family protein;protein_id=WP_011032330.1;transl_table=11	345.3333333333333	435.8333333333333	227.0	298.0	318.020479956874	0.222452068903963	0.186417781601239	1.19329855227976	0.232752469279996	0.482604442365869
sense	NC_003901.1	Protein Homology	CDS	483864	484916	.	-	0	ID=cds-WP_011032331.1;Parent=gene-MM_RS02035;Dbxref=GenBank:WP_011032331.1,GeneID:1478719;Name=WP_011032331.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032331.1;locus_tag=MM_RS02035;product=lysylphosphatidylglycerol synthase transmembrane domain-containing protein;protein_id=WP_011032331.1;transl_table=11	749.25	857.0	353.0	426.5	559.690752286458	-0.203892214020327	0.179890899371957	-1.13342150565796	0.257037287150824	0.510214168192158
sense	NC_003901.1	Protein Homology	CDS	485270	486448	.	-	0	ID=cds-WP_011032332.1;Parent=gene-MM_RS02040;Dbxref=GenBank:WP_011032332.1,GeneID:1478720;Name=WP_011032332.1;Ontology_term=GO:0009058,GO:0016779;gbkey=CDS;go_function=nucleotidyltransferase activity|0016779||IEA;go_process=biosynthetic process|0009058||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032332.1;locus_tag=MM_RS02040;product=nucleotidyltransferase family protein;protein_id=WP_011032332.1;transl_table=11	757.5	952.0	319.0	531.1428571428571	590.636306534445	-0.207443532193561	0.162959097769856	-1.27297914036398	0.203025444029193	0.446411403039938
