#Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	sense	antisense
NC_003901.1	Protein Homology	CDS	436429	436791	.	-	0	ID=cds-WP_011032284.1;Parent=gene-MM_RS01800;Dbxref=GenBank:WP_011032284.1,GeneID:1478672;Name=WP_011032284.1;Ontology_term=GO:0000160;gbkey=CDS;go_process=phosphorelay signal transduction system|0000160||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032284.1;locus_tag=MM_RS01800;product=response regulator;protein_id=WP_011032284.1;transl_table=11	36.16666666666667	0
NC_003901.1	Protein Homology	CDS	436817	437617	.	-	0	ID=cds-WP_011032285.1;Parent=gene-MM_RS01805;Dbxref=GenBank:WP_011032285.1,GeneID:1478673;Name=WP_011032285.1;Ontology_term=GO:0006935;gbkey=CDS;go_process=chemotaxis|0006935||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411025.1;locus_tag=MM_RS01805;product=CheF family chemotaxis protein;protein_id=WP_011032285.1;transl_table=11	18.5	0
NC_003901.1	Protein Homology	CDS	437614	438093	.	-	0	ID=cds-WP_011032286.1;Parent=gene-MM_RS01810;Dbxref=GenBank:WP_011032286.1,GeneID:1478674;Name=WP_011032286.1;Ontology_term=GO:0006935,GO:0007165;gbkey=CDS;go_process=chemotaxis|0006935||IEA,signal transduction|0007165||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032286.1;locus_tag=MM_RS01810;product=chemotaxis protein CheW;protein_id=WP_011032286.1;transl_table=11	9.5	0
NC_003901.1	Protein Homology	CDS	438177	440174	.	-	0	ID=cds-WP_011032287.1;Parent=gene-MM_RS01815;Dbxref=GenBank:WP_011032287.1,GeneID:1478675;Name=WP_011032287.1;Ontology_term=GO:0007165,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_process=signal transduction|0007165||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032287.1;locus_tag=MM_RS01815;product=methyl-accepting chemotaxis protein;protein_id=WP_011032287.1;transl_table=11	24.375	0
NC_003901.1	Protein Homology	CDS	440699	441067	.	+	0	ID=cds-WP_011032288.1;Parent=gene-MM_RS01820;Dbxref=GenBank:WP_011032288.1,GeneID:1478676;Name=WP_011032288.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032288.1;locus_tag=MM_RS01820;product=DsrE family protein;protein_id=WP_011032288.1;transl_table=11	155.0	0
NC_003901.1	Protein Homology	CDS	441695	442951	.	+	0	ID=cds-WP_011032289.1;Parent=gene-MM_RS01825;Dbxref=GenBank:WP_011032289.1,GeneID:1478677;Name=WP_011032289.1;Ontology_term=GO:0008299,GO:0004420,GO:0005515;gbkey=CDS;gene=hmgA;go_function=hydroxymethylglutaryl-CoA reductase (NADPH) activity|0004420||IEA,protein binding|0005515||IEA;go_process=isoprenoid biosynthetic process|0008299||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032289.1;locus_tag=MM_RS01825;product=hydroxymethylglutaryl-CoA reductase (NADPH);protein_id=WP_011032289.1;transl_table=11	183.0	0
NC_003901.1	Protein Homology	CDS	443363	443773	.	+	0	ID=cds-WP_011032290.1;Parent=gene-MM_RS01830;Dbxref=GenBank:WP_011032290.1,GeneID:1478678;Name=WP_011032290.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032290.1;locus_tag=MM_RS01830;product=DUF1699 family protein;protein_id=WP_011032290.1;transl_table=11	234.0	0
NC_003901.1	Protein Homology	CDS	443958	445256	.	-	0	ID=cds-WP_011032291.1;Parent=gene-MM_RS01835;Dbxref=GenBank:WP_011032291.1,GeneID:1478679;Name=WP_011032291.1;Ontology_term=GO:0000162,GO:0006568,GO:0004834,GO:0030170;gbkey=CDS;go_function=tryptophan synthase activity|0004834||IEA,pyridoxal phosphate binding|0030170||IEA;go_process=tryptophan biosynthetic process|0000162||IEA,tryptophan metabolic process|0006568||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032291.1;locus_tag=MM_RS01835;product=TrpB-like pyridoxal phosphate-dependent enzyme;protein_id=WP_011032291.1;transl_table=11	235.2	0
NC_003901.1	Protein Homology	CDS	445717	447063	.	-	0	ID=cds-WP_048040039.1;Parent=gene-MM_RS01840;Dbxref=GenBank:WP_048040039.1,GeneID:1478680;Name=WP_048040039.1;Ontology_term=GO:0009228,GO:0008902,GO:0008972;gbkey=CDS;gene=thiD;go_function=hydroxymethylpyrimidine kinase activity|0008902||IEA,phosphomethylpyrimidine kinase activity|0008972||IEA;go_process=thiamine biosynthetic process|0009228||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411030.1;locus_tag=MM_RS01840;product=bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase;protein_id=WP_048040039.1;transl_table=11	134.0	0
NC_003901.1	Protein Homology	CDS	447635	447853	.	+	0	ID=cds-WP_011032293.1;Parent=gene-MM_RS01845;Dbxref=GenBank:WP_011032293.1,GeneID:1478681;Name=WP_011032293.1;Ontology_term=GO:0006396;gbkey=CDS;go_process=RNA processing|0006396||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011023130.1;locus_tag=MM_RS01845;product=LSm family protein;protein_id=WP_011032293.1;transl_table=11	1114.0	0
NC_003901.1	Protein Homology	CDS	447995	448165	.	+	0	ID=cds-WP_011032294.1;Parent=gene-MM_RS01850;Dbxref=GenBank:WP_011032294.1,GeneID:1478682;Name=WP_011032294.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011308409.1;locus_tag=MM_RS01850;product=50S ribosomal protein L37e;protein_id=WP_011032294.1;transl_table=11	5605.5	0
NC_003901.1	Protein Homology	CDS	448215	449672	.	+	0	ID=cds-WP_011032295.1;Parent=gene-MM_RS01855;Dbxref=GenBank:WP_011032295.1,GeneID:1478683;Name=WP_011032295.1;Ontology_term=GO:0009113,GO:0004044;gbkey=CDS;gene=purF;go_function=amidophosphoribosyltransferase activity|0004044||IEA;go_process=purine nucleobase biosynthetic process|0009113||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032295.1;locus_tag=MM_RS01855;product=amidophosphoribosyltransferase;protein_id=WP_011032295.1;transl_table=11	2543.5	0
NC_003901.1	Protein Homology	CDS	449764	450162	.	-	0	ID=cds-WP_011032296.1;Parent=gene-MM_RS01860;Dbxref=GenBank:WP_011032296.1,GeneID:1478684;Name=WP_011032296.1;Ontology_term=GO:0003824,GO:0005737;gbkey=CDS;go_component=cytoplasm|0005737||IEA;go_function=catalytic activity|0003824||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032296.1;locus_tag=MM_RS01860;product=secondary thiamine-phosphate synthase enzyme YjbQ;protein_id=WP_011032296.1;transl_table=11	35.0	0
NC_003901.1	GeneMarkS-2+	CDS	451178	451327	.	-	0	ID=cds-WP_015411033.1;Parent=gene-MM_RS18200;Dbxref=GenBank:WP_015411033.1,GeneID:43445788;Name=WP_015411033.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS18200;product=hypothetical protein;protein_id=WP_015411033.1;transl_table=11	10.0	0
NC_003901.1	Protein Homology	CDS	451470	452906	.	-	0	ID=cds-WP_011032298.1;Parent=gene-MM_RS01870;Dbxref=GenBank:WP_011032298.1,GeneID:1478686;Name=WP_011032298.1;Ontology_term=GO:0055085,GO:0015297,GO:0042910,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=antiporter activity|0015297||IEA,xenobiotic transmembrane transporter activity|0042910||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032298.1;locus_tag=MM_RS01870;product=MATE family efflux transporter;protein_id=WP_011032298.1;transl_table=11	633.0	0
NC_003901.1	Protein Homology	CDS	452988	453317	.	-	0	ID=cds-WP_011032299.1;Parent=gene-MM_RS01875;Dbxref=GenBank:WP_011032299.1,GeneID:1478687;Name=WP_011032299.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032299.1;locus_tag=MM_RS01875;product=TrmB family transcriptional regulator;protein_id=WP_011032299.1;transl_table=11	264.5	0
NC_003901.1	Protein Homology	CDS	453358	453816	.	-	0	ID=cds-WP_015411035.1;Parent=gene-MM_RS01880;Dbxref=GenBank:WP_015411035.1,GeneID:1478688;Name=WP_015411035.1;Ontology_term=GO:0006355,GO:0003700;gbkey=CDS;go_function=DNA-binding transcription factor activity|0003700||IEA;go_process=regulation of DNA-templated transcription|0006355||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411035.1;locus_tag=MM_RS01880;product=MarR family winged helix-turn-helix transcriptional regulator;protein_id=WP_015411035.1;transl_table=11	23.75	0
NC_003901.1	Protein Homology	CDS	454209	454619	.	-	0	ID=cds-WP_155395194.1;Parent=gene-MM_RS01885;Dbxref=GenBank:WP_155395194.1,GeneID:1478689;Name=WP_155395194.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032301.1;locus_tag=MM_RS01885;product=hypothetical protein;protein_id=WP_155395194.1;transl_table=11	39.0	0
NC_003901.1	Protein Homology	CDS	454925	456394	.	-	0	ID=cds-WP_011032302.1;Parent=gene-MM_RS01890;Dbxref=GenBank:WP_011032302.1,GeneID:1478690;Name=WP_011032302.1;Ontology_term=GO:0055085,GO:0015297,GO:0042910,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=antiporter activity|0015297||IEA,xenobiotic transmembrane transporter activity|0042910||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032302.1;locus_tag=MM_RS01890;product=MATE family efflux transporter;protein_id=WP_011032302.1;transl_table=11	170.5	0
NC_003901.1	Protein Homology	CDS	457434	458210	.	+	0	ID=cds-WP_048036586.1;Parent=gene-MM_RS01900;Dbxref=GenBank:WP_048036586.1,GeneID:1478692;Name=WP_048036586.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411038.1;locus_tag=MM_RS01900;product=rhodanese-like domain-containing protein;protein_id=WP_048036586.1;transl_table=11	125.0	0
NC_003901.1	Protein Homology	CDS	458507	459502	.	+	0	ID=cds-WP_011032305.1;Parent=gene-MM_RS01905;Dbxref=GenBank:WP_011032305.1,GeneID:1478693;Name=WP_011032305.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032305.1;locus_tag=MM_RS01905;product=hypothetical protein;protein_id=WP_011032305.1;transl_table=11	14817.25	0
NC_003901.1	Protein Homology	CDS	460059	461021	.	-	0	ID=cds-WP_080503016.1;Parent=gene-MM_RS01915;Dbxref=GenBank:WP_080503016.1,GeneID:1478695;Name=WP_080503016.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411039.1;locus_tag=MM_RS01915;product=PGF-pre-PGF domain-containing protein;protein_id=WP_080503016.1;transl_table=11	409.0769230769231	0
NC_003901.1	GeneMarkS-2+	CDS	461765	462097	.	+	0	ID=cds-WP_011032308.1;Parent=gene-MM_RS01920;Dbxref=GenBank:WP_011032308.1,GeneID:1478696;Name=WP_011032308.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS01920;product=hypothetical protein;protein_id=WP_011032308.1;transl_table=11	40.38055555555571	0
NC_003901.1	Protein Homology	CDS	462142	462606	.	-	0	ID=cds-WP_011032309.1;Parent=gene-MM_RS01925;Dbxref=GenBank:WP_011032309.1,GeneID:1478697;Name=WP_011032309.1;Ontology_term=GO:0006313,GO:0004803;gbkey=CDS;gene=tnpA;go_function=transposase activity|0004803||IEA;go_process=DNA transposition|0006313||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032309.1;locus_tag=MM_RS01925;product=IS200/IS605-like element ISMma21 family transposase;protein_id=WP_011032309.1;transl_table=11	16.473015873015854	0
NC_003901.1	Protein Homology	CDS	462707	463789	.	+	0	ID=cds-WP_193334225.1;Parent=gene-MM_RS01930;Dbxref=GenBank:WP_193334225.1,GeneID:1478698;Name=WP_193334225.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032310.1;locus_tag=MM_RS01930;product=hypothetical protein;protein_id=WP_193334225.1;transl_table=11	193.0123737373741	0
NC_003901.1	Protein Homology	CDS	464319	465443	.	+	0	ID=cds-WP_011032311.1;Parent=gene-MM_RS01935;Dbxref=GenBank:WP_011032311.1,GeneID:1478699;Name=WP_011032311.1;Ontology_term=GO:0000166,GO:0016491;gbkey=CDS;go_function=nucleotide binding|0000166||IEA,oxidoreductase activity|0016491||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032311.1;locus_tag=MM_RS01935;product=Glu/Leu/Phe/Val family dehydrogenase;protein_id=WP_011032311.1;transl_table=11	537.5	0
NC_003901.1	Protein Homology	CDS	465615	467021	.	-	0	ID=cds-WP_011032312.1;Parent=gene-MM_RS01940;Dbxref=GenBank:WP_011032312.1,GeneID:1478700;Name=WP_011032312.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032312.1;locus_tag=MM_RS01940;product=acetate--CoA ligase family protein;protein_id=WP_011032312.1;transl_table=11	303.0	0
NC_003901.1	Protein Homology	CDS	467228	467584	.	-	0	ID=cds-WP_011032313.1;Parent=gene-MM_RS01945;Dbxref=GenBank:WP_011032313.1,GeneID:1478701;Name=WP_011032313.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032313.1;locus_tag=MM_RS01945;product=winged helix-turn-helix transcriptional regulator;protein_id=WP_011032313.1;transl_table=11	143.0	0
NC_003901.1	Protein Homology	CDS	467731	468402	.	+	0	ID=cds-WP_048040033.1;Parent=gene-MM_RS01950;Dbxref=GenBank:WP_048040033.1,GeneID:1478702;Name=WP_048040033.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411042.1;locus_tag=MM_RS01950;product=NAD(P)/FAD-dependent oxidoreductase;protein_id=WP_048040033.1;transl_table=11	1841.5	0
NC_003901.1	Protein Homology	CDS	468460	468816	.	-	0	ID=cds-WP_011032315.1;Parent=gene-MM_RS01955;Dbxref=GenBank:WP_011032315.1,GeneID:1478703;Name=WP_011032315.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032315.1;locus_tag=MM_RS01955;product=winged helix-turn-helix transcriptional regulator;protein_id=WP_011032315.1;transl_table=11	475.0	0
NC_003901.1	Protein Homology	CDS	469092	469751	.	+	0	ID=cds-WP_011032316.1;Parent=gene-MM_RS01960;Dbxref=GenBank:WP_011032316.1,GeneID:1478704;Name=WP_011032316.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411044.1;locus_tag=MM_RS01960;product=NAD(P)/FAD-dependent oxidoreductase;protein_id=WP_011032316.1;transl_table=11	373.0	0
NC_003901.1	Protein Homology	CDS	470083	470421	.	+	0	ID=cds-WP_011032317.1;Parent=gene-MM_RS01965;Dbxref=GenBank:WP_011032317.1,GeneID:1478705;Name=WP_011032317.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032317.1;locus_tag=MM_RS01965;product=cupin domain-containing protein;protein_id=WP_011032317.1;transl_table=11	336.0	0
NC_003901.1	Protein Homology	CDS	470459	470803	.	+	0	ID=cds-WP_011032318.1;Parent=gene-MM_RS01970;Dbxref=GenBank:WP_011032318.1,GeneID:1478706;Name=WP_011032318.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411045.1;locus_tag=MM_RS01970;product=CGGC domain-containing protein;protein_id=WP_011032318.1;transl_table=11	82.0	0
NC_003901.1	Protein Homology	CDS	471016	471477	.	+	0	ID=cds-WP_011032319.1;Parent=gene-MM_RS01975;Dbxref=GenBank:WP_011032319.1,GeneID:1478707;Name=WP_011032319.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032319.1;locus_tag=MM_RS01975;product=hypothetical protein;protein_id=WP_011032319.1;transl_table=11	308.0	0
NC_003901.1	Protein Homology	CDS	471552	471920	.	+	0	ID=cds-WP_011032320.1;Parent=gene-MM_RS01980;Dbxref=GenBank:WP_011032320.1,GeneID:1478708;Name=WP_011032320.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032320.1;locus_tag=MM_RS01980;product=ATP-binding protein;protein_id=WP_011032320.1;transl_table=11	353.8333333333333	0
NC_003901.1	Protein Homology	CDS	472177	472731	.	-	0	ID=cds-WP_011032321.1;Parent=gene-MM_RS01985;Dbxref=GenBank:WP_011032321.1,GeneID:1478709;Name=WP_011032321.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032321.1;locus_tag=MM_RS01985;product=hemerythrin domain-containing protein;protein_id=WP_011032321.1;transl_table=11	36.0	0
NC_003901.1	Protein Homology	CDS	472902	473264	.	+	0	ID=cds-WP_048036903.1;Parent=gene-MM_RS01990;Dbxref=GenBank:WP_048036903.1,GeneID:1478710;Name=WP_048036903.1;Ontology_term=GO:0051920;gbkey=CDS;go_function=peroxiredoxin activity|0051920||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011498430.1;locus_tag=MM_RS01990;product=carboxymuconolactone decarboxylase family protein;protein_id=WP_048036903.1;transl_table=11	158.0	0
NC_003901.1	Protein Homology	CDS	473430	474272	.	+	0	ID=cds-WP_011032323.1;Parent=gene-MM_RS01995;Dbxref=GenBank:WP_011032323.1,GeneID:1478711;Name=WP_011032323.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032323.1;locus_tag=MM_RS01995;product=TrmB family transcriptional regulator;protein_id=WP_011032323.1;transl_table=11	225.0	0
NC_003901.1	Protein Homology	CDS	474484	475440	.	+	0	ID=cds-WP_048045986.1;Parent=gene-MM_RS02000;Dbxref=GenBank:WP_048045986.1,GeneID:1478712;Name=WP_048045986.1;Ontology_term=GO:0009094,GO:0004664;gbkey=CDS;gene=pheA;go_function=prephenate dehydratase activity|0004664||IEA;go_process=L-phenylalanine biosynthetic process|0009094||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032324.1;locus_tag=MM_RS02000;product=prephenate dehydratase;protein_id=WP_048045986.1;transl_table=11	507.25	0
NC_003901.1	Protein Homology	CDS	475505	476392	.	+	0	ID=cds-WP_011032325.1;Parent=gene-MM_RS02005;Dbxref=GenBank:WP_011032325.1,GeneID:1478713;Name=WP_011032325.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032325.1;locus_tag=MM_RS02005;product=DUF7502 family protein;protein_id=WP_011032325.1;transl_table=11	454.5	0
NC_003901.1	Protein Homology	CDS	476651	477625	.	+	0	ID=cds-WP_011032326.1;Parent=gene-MM_RS02010;Dbxref=GenBank:WP_011032326.1,GeneID:1478714;Name=WP_011032326.1;Ontology_term=GO:0005524,GO:0016887;gbkey=CDS;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032326.1;locus_tag=MM_RS02010;product=AAA family ATPase;protein_id=WP_011032326.1;transl_table=11	277.0	0
NC_003901.1	GeneMarkS-2+	CDS	477648	477797	.	+	0	ID=cds-WP_155395193.1;Parent=gene-MM_RS18205;Dbxref=GenBank:WP_155395193.1,GeneID:43445789;Name=WP_155395193.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS18205;product=hypothetical protein;protein_id=WP_155395193.1;transl_table=11	33.0	0
NC_003901.1	Protein Homology	CDS	477794	478675	.	+	0	ID=cds-WP_011032327.1;Parent=gene-MM_RS02015;Dbxref=GenBank:WP_011032327.1,GeneID:1478715;Name=WP_011032327.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011306918.1;locus_tag=MM_RS02015;product=DUF58 domain-containing protein;protein_id=WP_011032327.1;transl_table=11	290.0	0
NC_003901.1	Protein Homology	CDS	478678	480555	.	+	0	ID=cds-WP_011032328.1;Parent=gene-MM_RS02020;Dbxref=GenBank:WP_011032328.1,GeneID:1478716;Name=WP_011032328.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032328.1;locus_tag=MM_RS02020;product=vWA domain-containing protein;protein_id=WP_011032328.1;transl_table=11	506.5	0
NC_003901.1	Protein Homology	CDS	480552	483041	.	+	0	ID=cds-WP_011032329.1;Parent=gene-MM_RS02025;Dbxref=GenBank:WP_011032329.1,GeneID:1478717;Name=WP_011032329.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032329.1;locus_tag=MM_RS02025;product=vWA domain-containing protein;protein_id=WP_011032329.1;transl_table=11	1623.25	0
NC_003901.1	Protein Homology	CDS	483168	483764	.	-	0	ID=cds-WP_011032330.1;Parent=gene-MM_RS02030;Dbxref=GenBank:WP_011032330.1,GeneID:1478718;Name=WP_011032330.1;Ontology_term=GO:0016310,GO:0016301;gbkey=CDS;go_function=kinase activity|0016301||IEA;go_process=phosphorylation|0016310||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032330.1;locus_tag=MM_RS02030;product=diacylglycerol/polyprenol kinase family protein;protein_id=WP_011032330.1;transl_table=11	345.3333333333333	0
NC_003901.1	Protein Homology	CDS	483864	484916	.	-	0	ID=cds-WP_011032331.1;Parent=gene-MM_RS02035;Dbxref=GenBank:WP_011032331.1,GeneID:1478719;Name=WP_011032331.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032331.1;locus_tag=MM_RS02035;product=lysylphosphatidylglycerol synthase transmembrane domain-containing protein;protein_id=WP_011032331.1;transl_table=11	749.25	0
NC_003901.1	Protein Homology	CDS	485270	486448	.	-	0	ID=cds-WP_011032332.1;Parent=gene-MM_RS02040;Dbxref=GenBank:WP_011032332.1,GeneID:1478720;Name=WP_011032332.1;Ontology_term=GO:0009058,GO:0016779;gbkey=CDS;go_function=nucleotidyltransferase activity|0016779||IEA;go_process=biosynthetic process|0009058||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032332.1;locus_tag=MM_RS02040;product=nucleotidyltransferase family protein;protein_id=WP_011032332.1;transl_table=11	757.5	0
NC_003901.1	Protein Homology	CDS	486587	486982	.	-	0	ID=cds-WP_015411053.1;Parent=gene-MM_RS02045;Dbxref=GenBank:WP_015411053.1,GeneID:1478721;Name=WP_015411053.1;Ontology_term=GO:0003676;gbkey=CDS;go_function=nucleic acid binding|0003676||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411053.1;locus_tag=MM_RS02045;product=OB-fold nucleic acid binding domain-containing protein;protein_id=WP_015411053.1;transl_table=11	247.0	0
NC_003901.1	Protein Homology	CDS	487168	487650	.	-	0	ID=cds-WP_011032334.1;Parent=gene-MM_RS02050;Dbxref=GenBank:WP_011032334.1,GeneID:1478722;Name=WP_011032334.1;Ontology_term=GO:0006457,GO:0003755,GO:0046872;gbkey=CDS;go_function=peptidyl-prolyl cis-trans isomerase activity|0003755||IEA,metal ion binding|0046872||IEA;go_process=protein folding|0006457||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032334.1;locus_tag=MM_RS02050;product=FKBP-type peptidyl-prolyl cis-trans isomerase;protein_id=WP_011032334.1;transl_table=11	50.0	0
NC_003901.1	Protein Homology	CDS	487779	488333	.	-	0	ID=cds-WP_048045987.1;Parent=gene-MM_RS02055;Dbxref=GenBank:WP_048045987.1,GeneID:1478723;Name=WP_048045987.1;Ontology_term=GO:0006457,GO:0003755,GO:0046872;gbkey=CDS;go_function=peptidyl-prolyl cis-trans isomerase activity|0003755||IEA,metal ion binding|0046872||IEA;go_process=protein folding|0006457||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411054.1;locus_tag=MM_RS02055;product=FKBP-type peptidyl-prolyl cis-trans isomerase;protein_id=WP_048045987.1;transl_table=11	209.33333333333334	0
NC_003901.1	Protein Homology	CDS	488339	488821	.	-	0	ID=cds-WP_048045844.1;Parent=gene-MM_RS02060;Dbxref=GenBank:WP_048045844.1,GeneID:1478724;Name=WP_048045844.1;Ontology_term=GO:0006457,GO:0003755,GO:0046872;gbkey=CDS;go_function=peptidyl-prolyl cis-trans isomerase activity|0003755||IEA,metal ion binding|0046872||IEA;go_process=protein folding|0006457||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032336.1;locus_tag=MM_RS02060;product=FKBP-type peptidyl-prolyl cis-trans isomerase;protein_id=WP_048045844.1;transl_table=11	216.0	0
NC_003901.1	Protein Homology	CDS	489007	489648	.	-	0	ID=cds-WP_011032337.1;Parent=gene-MM_RS02065;Dbxref=GenBank:WP_011032337.1,GeneID:1478725;Name=WP_011032337.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032337.1;locus_tag=MM_RS02065;product=SdpI family protein;protein_id=WP_011032337.1;transl_table=11	351.8333333333333	0
NC_003901.1	GeneMarkS-2+	CDS	489788	489961	.	-	0	ID=cds-WP_155395192.1;Parent=gene-MM_RS18210;Dbxref=GenBank:WP_155395192.1,GeneID:43445790;Name=WP_155395192.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS18210;product=hypothetical protein;protein_id=WP_155395192.1;transl_table=11	23.1	0
NC_003901.1	Protein Homology	CDS	490131	492449	.	+	0	ID=cds-WP_155395394.1;Parent=gene-MM_RS02070;Dbxref=GenBank:WP_155395394.1,GeneID:1478726;Name=WP_155395394.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015411057.1;locus_tag=MM_RS02070;product=PGF-pre-PGF domain-containing protein;protein_id=WP_155395394.1;transl_table=11	504.0625	0
NC_003901.1	tRNAscan-SE	tRNA	492804	492875	.	-	.	ID=rna-MM_RS02075;Parent=gene-MM_RS02075;Dbxref=GeneID:2820516;anticodon=(pos:complement(492841..492843));gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.12;locus_tag=MM_RS02075;product=tRNA-Ala	953.5	0
NC_003901.1	tRNAscan-SE	tRNA	493102	493178	.	+	.	ID=rna-MM_RS02080;Parent=gene-MM_RS02080;Dbxref=GeneID:2820517;anticodon=(pos:493136..493138);gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.12;locus_tag=MM_RS02080;product=tRNA-Ile	799.75	0
NC_003901.1	tRNAscan-SE	tRNA	493238	493311	.	+	.	ID=rna-MM_RS02085;Parent=gene-MM_RS02085;Dbxref=GeneID:2820509;anticodon=(pos:493272..493274);gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.12;locus_tag=MM_RS02085;product=tRNA-Ile	308.5	0
NC_003901.1	Protein Homology	CDS	493828	494241	.	-	0	ID=cds-WP_011032339.1;Parent=gene-MM_RS02090;Dbxref=GenBank:WP_011032339.1,GeneID:1478727;Name=WP_011032339.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011032339.1;locus_tag=MM_RS02090;product=transcriptional regulator;protein_id=WP_011032339.1;transl_table=11	786.25	0
NC_003901.1	Protein Homology	CDS	495242	495643	.	-	0	ID=cds-WP_011032340.1;Parent=gene-MM_RS02095;Dbxref=GenBank:WP_011032340.1,GeneID:1478728;Name=WP_011032340.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011023067.1;locus_tag=MM_RS02095;product=transcriptional regulator;protein_id=WP_011032340.1;transl_table=11	275.0	0
