locus_tag	ftype	length_bp	gene	EC_number	COG	product
IJOGNDPK_00842	gene	1266	mdtA_1			
IJOGNDPK_00842	CDS	1266	mdtA_1			Multidrug resistance protein MdtA
IJOGNDPK_00843	gene	2406				
IJOGNDPK_00843	CDS	2406				hypothetical protein
IJOGNDPK_00844	gene	669	yknY_2			
IJOGNDPK_00844	CDS	669	yknY_2	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
IJOGNDPK_00845	gene	627				
IJOGNDPK_00845	CDS	627				hypothetical protein
IJOGNDPK_00846	gene	1581				
IJOGNDPK_00846	CDS	1581		3.1.6.-	COG3119	N-acetylglucosamine-6-O-sulfatase
IJOGNDPK_00847	gene	393				
IJOGNDPK_00847	CDS	393				hypothetical protein
IJOGNDPK_00848	gene	144				
IJOGNDPK_00848	CDS	144				hypothetical protein
IJOGNDPK_00849	gene	2856	polA			
IJOGNDPK_00849	CDS	2856	polA	2.7.7.7	COG0258	DNA polymerase I
IJOGNDPK_00850	gene	975	sdsA			
IJOGNDPK_00850	CDS	975	sdsA	2.5.1.84		All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)
IJOGNDPK_00851	gene	903	deoC			
IJOGNDPK_00851	CDS	903	deoC	4.1.2.4		Deoxyribose-phosphate aldolase
IJOGNDPK_00852	gene	339	ypjD			
IJOGNDPK_00852	CDS	339	ypjD		COG1694	putative protein YpjD
IJOGNDPK_00853	gene	453	dtd			
IJOGNDPK_00853	CDS	453	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
IJOGNDPK_00854	gene	1830	uvrC			
IJOGNDPK_00854	CDS	1830	uvrC		COG0322	UvrABC system protein C
IJOGNDPK_00855	gene	525	apt			
IJOGNDPK_00855	CDS	525	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
IJOGNDPK_00856	gene	1875	mnmG			
IJOGNDPK_00856	CDS	1875	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
IJOGNDPK_00857	gene	93				
IJOGNDPK_00857	CDS	93				hypothetical protein
IJOGNDPK_00858	gene	1818	lacZ_3			
IJOGNDPK_00858	CDS	1818	lacZ_3	3.2.1.23		Beta-galactosidase
IJOGNDPK_00859	gene	1668				
IJOGNDPK_00859	CDS	1668				hypothetical protein
IJOGNDPK_00860	gene	774				
IJOGNDPK_00860	CDS	774			COG3039	IS5 family transposase ISMac15
IJOGNDPK_00861	gene	2340	rcsC_6			
IJOGNDPK_00861	CDS	2340	rcsC_6	2.7.13.3		Sensor histidine kinase RcsC
IJOGNDPK_00862	gene	3051	susC_7			
IJOGNDPK_00862	CDS	3051	susC_7			TonB-dependent receptor SusC
IJOGNDPK_00863	gene	1575				
IJOGNDPK_00863	CDS	1575				SusD-like protein P2
IJOGNDPK_00864	gene	2643				
IJOGNDPK_00864	CDS	2643				hypothetical protein
IJOGNDPK_00865	gene	969				
IJOGNDPK_00865	CDS	969				hypothetical protein
IJOGNDPK_00866	gene	969	xynD			
IJOGNDPK_00866	CDS	969	xynD	3.2.1.55		Arabinoxylan arabinofuranohydrolase
IJOGNDPK_00867	gene	1017	arbA			
IJOGNDPK_00867	CDS	1017	arbA	3.2.1.55	COG3507	Extracellular exo-alpha-(1->5)-L-arabinofuranosidase ArbA
IJOGNDPK_00868	gene	2031				
IJOGNDPK_00868	CDS	2031				hypothetical protein
IJOGNDPK_00869	gene	1125	mro_1			
IJOGNDPK_00869	CDS	1125	mro_1	5.1.3.3	COG2017	Aldose 1-epimerase
IJOGNDPK_00870	gene	414	ybeY			
IJOGNDPK_00870	CDS	414	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
IJOGNDPK_00871	gene	1233				
IJOGNDPK_00871	CDS	1233				hypothetical protein
IJOGNDPK_00872	gene	1005				
IJOGNDPK_00872	CDS	1005				hypothetical protein
IJOGNDPK_00873	gene	2217				
IJOGNDPK_00873	CDS	2217		3.2.1.169		O-GlcNAcase
IJOGNDPK_00874	gene	435				
IJOGNDPK_00874	CDS	435				hypothetical protein
IJOGNDPK_00875	gene	180				
IJOGNDPK_00875	CDS	180				hypothetical protein
IJOGNDPK_00876	gene	1047	ruvB_2			
IJOGNDPK_00876	CDS	1047	ruvB_2	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
IJOGNDPK_00877	gene	1449				
IJOGNDPK_00877	CDS	1449				hypothetical protein
IJOGNDPK_00878	gene	1362				
IJOGNDPK_00878	CDS	1362				hypothetical protein
IJOGNDPK_00879	gene	2136	dpp7_1			
IJOGNDPK_00879	CDS	2136	dpp7_1	3.4.14.-		Dipeptidyl-peptidase 7
IJOGNDPK_00880	gene	270	lacZ_4			
IJOGNDPK_00880	CDS	270	lacZ_4	3.2.1.23	COG3250	Beta-galactosidase
IJOGNDPK_00881	gene	216				
IJOGNDPK_00881	CDS	216				hypothetical protein
IJOGNDPK_00882	gene	480				
IJOGNDPK_00882	CDS	480				hypothetical protein
IJOGNDPK_00883	gene	630				
IJOGNDPK_00883	CDS	630				hypothetical protein
IJOGNDPK_00884	gene	1503	glnA_1			
IJOGNDPK_00884	CDS	1503	glnA_1	6.3.1.2		Glutamine synthetase
IJOGNDPK_00885	gene	495				
IJOGNDPK_00885	CDS	495				hypothetical protein
IJOGNDPK_00886	gene	1878	deaD			
IJOGNDPK_00886	CDS	1878	deaD	3.6.4.13		ATP-dependent RNA helicase DeaD
IJOGNDPK_00887	gene	618				
IJOGNDPK_00887	CDS	618				hypothetical protein
IJOGNDPK_00888	gene	615				
IJOGNDPK_00888	CDS	615				hypothetical protein
IJOGNDPK_00889	gene	1383				
IJOGNDPK_00889	CDS	1383				hypothetical protein
IJOGNDPK_00890	gene	930	scrK			
IJOGNDPK_00890	CDS	930	scrK	2.7.1.4	COG0524	Fructokinase
IJOGNDPK_00891	gene	606	kdsD			
IJOGNDPK_00891	CDS	606	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
IJOGNDPK_00892	gene	1248				
IJOGNDPK_00892	CDS	1248		3.4.24.-	COG0612	putative zinc protease
IJOGNDPK_00893	gene	906	gpmI_2			
IJOGNDPK_00893	CDS	906	gpmI_2	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
IJOGNDPK_00894	gene	582	queH			
IJOGNDPK_00894	CDS	582	queH	1.17.99.6	COG1636	Epoxyqueuosine reductase QueH
IJOGNDPK_00895	gene	1197				
IJOGNDPK_00895	CDS	1197				hypothetical protein
IJOGNDPK_00896	gene	1599				
IJOGNDPK_00896	CDS	1599				hypothetical protein
IJOGNDPK_00897	gene	1251				
IJOGNDPK_00897	CDS	1251				hypothetical protein
IJOGNDPK_00898	gene	2226				
IJOGNDPK_00898	CDS	2226		3.2.1.21	COG1472	Beta-glucosidase BoGH3A
IJOGNDPK_00899	gene	1431	sau3AIR			
IJOGNDPK_00899	CDS	1431	sau3AIR	3.1.21.4		Type-2 restriction enzyme Sau3AI
IJOGNDPK_00900	gene	1719				
IJOGNDPK_00900	CDS	1719				hypothetical protein
IJOGNDPK_00901	gene	111				
IJOGNDPK_00901	CDS	111				hypothetical protein
IJOGNDPK_00902	gene	1245	uxuA_1			
IJOGNDPK_00902	CDS	1245	uxuA_1	4.2.1.8	COG1312	Mannonate dehydratase
IJOGNDPK_00903	gene	813	uxuB			
IJOGNDPK_00903	CDS	813	uxuB	1.-.-.-	COG1028	putative oxidoreductase UxuB
IJOGNDPK_00904	gene	489				
IJOGNDPK_00904	CDS	489		3.2.1.31		Putative beta-glucuronidase
IJOGNDPK_00905	gene	2367				
IJOGNDPK_00905	CDS	2367				hypothetical protein
IJOGNDPK_00906	gene	2655	lacZ_5			
IJOGNDPK_00906	CDS	2655	lacZ_5	3.2.1.23		Beta-galactosidase
IJOGNDPK_00907	gene	2988				
IJOGNDPK_00907	CDS	2988				hypothetical protein
IJOGNDPK_00908	gene	1050				
IJOGNDPK_00908	CDS	1050				hypothetical protein
IJOGNDPK_00909	gene	390				
IJOGNDPK_00909	CDS	390				hypothetical protein
IJOGNDPK_00910	gene	1767				
IJOGNDPK_00910	CDS	1767				SusD-like protein
IJOGNDPK_00911	gene	3039				
IJOGNDPK_00911	CDS	3039				TonB-dependent receptor P3
IJOGNDPK_00912	gene	1824				
IJOGNDPK_00912	CDS	1824		3.2.1.31		Putative beta-glucuronidase
IJOGNDPK_00913	gene	2874				
IJOGNDPK_00913	CDS	2874				hypothetical protein
IJOGNDPK_00914	gene	663				
IJOGNDPK_00914	CDS	663				putative protein
IJOGNDPK_00915	gene	933				
IJOGNDPK_00915	CDS	933				hypothetical protein
IJOGNDPK_00916	gene	1494				
IJOGNDPK_00916	CDS	1494				hypothetical protein
IJOGNDPK_00917	gene	765	dapB			
IJOGNDPK_00917	CDS	765	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
IJOGNDPK_00918	gene	1275				
IJOGNDPK_00918	CDS	1275				hypothetical protein
IJOGNDPK_00919	gene	513				
IJOGNDPK_00919	CDS	513				hypothetical protein
IJOGNDPK_00920	gene	3084	chonabc			
IJOGNDPK_00920	CDS	3084	chonabc	4.2.2.21		Chondroitin sulfate ABC exolyase
IJOGNDPK_00921	gene	951	dusC			
IJOGNDPK_00921	CDS	951	dusC	1.3.1.-		tRNA-dihydrouridine(16) synthase
IJOGNDPK_00922	gene	1134				
IJOGNDPK_00922	CDS	1134				hypothetical protein
IJOGNDPK_00923	gene	2481				
IJOGNDPK_00923	CDS	2481				hypothetical protein
IJOGNDPK_00924	gene	1515				
IJOGNDPK_00924	CDS	1515				SusD-like protein P2
IJOGNDPK_00925	gene	3039				
IJOGNDPK_00925	CDS	3039				TonB-dependent receptor P3
IJOGNDPK_00926	gene	4137	rcsC_7			
IJOGNDPK_00926	CDS	4137	rcsC_7	2.7.13.3		Sensor histidine kinase RcsC
IJOGNDPK_00927	gene	1083	nahK			
IJOGNDPK_00927	CDS	1083	nahK	2.7.1.162		N-acetylhexosamine 1-kinase
IJOGNDPK_00928	gene	714				
IJOGNDPK_00928	CDS	714				hypothetical protein
IJOGNDPK_00929	gene	447				
IJOGNDPK_00929	CDS	447				hypothetical protein
IJOGNDPK_00930	gene	576				
IJOGNDPK_00930	CDS	576				hypothetical protein
IJOGNDPK_00931	gene	1749				
IJOGNDPK_00931	CDS	1749				hypothetical protein
IJOGNDPK_00932	gene	423				
IJOGNDPK_00932	CDS	423				hypothetical protein
IJOGNDPK_00933	gene	1530				
IJOGNDPK_00933	CDS	1530				hypothetical protein
IJOGNDPK_00934	gene	198				
IJOGNDPK_00934	CDS	198				hypothetical protein
IJOGNDPK_00935	gene	1116	resA_2			
IJOGNDPK_00935	CDS	1116	resA_2			Thiol-disulfide oxidoreductase ResA
IJOGNDPK_00936	gene	2187	lagD_2			
IJOGNDPK_00936	CDS	2187	lagD_2	3.4.22.-		Lactococcin-G-processing and transport ATP-binding protein LagD
IJOGNDPK_00937	gene	1296				
IJOGNDPK_00937	CDS	1296				hypothetical protein
IJOGNDPK_00938	gene	768	lpxA_1			
IJOGNDPK_00938	CDS	768	lpxA_1	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
IJOGNDPK_00939	gene	1386	oprM_1			
IJOGNDPK_00939	CDS	1386	oprM_1		COG1538	Outer membrane protein OprM
IJOGNDPK_00940	gene	3417	acrF			
IJOGNDPK_00940	CDS	3417	acrF		COG0841	Multidrug export protein AcrF
IJOGNDPK_00941	gene	1176	mdtE_1			
IJOGNDPK_00941	CDS	1176	mdtE_1			Multidrug resistance protein MdtE
IJOGNDPK_00942	gene	1956				
IJOGNDPK_00942	CDS	1956				hypothetical protein
IJOGNDPK_00943	gene	867				
IJOGNDPK_00943	CDS	867				hypothetical protein
IJOGNDPK_00944	gene	444	paaI			
IJOGNDPK_00944	CDS	444	paaI	3.1.2.-	COG2050	Acyl-coenzyme A thioesterase PaaI
IJOGNDPK_00945	gene	1200				
IJOGNDPK_00945	CDS	1200		3.2.1.-		Unsaturated glucuronyl hydrolase
IJOGNDPK_00946	gene	1545				
IJOGNDPK_00946	CDS	1545		3.1.6.-	COG3119	Endo-4-O-sulfatase
IJOGNDPK_00947	gene	1476	cysS			
IJOGNDPK_00947	CDS	1476	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
IJOGNDPK_00948	gene	1092	mnmA_2			
IJOGNDPK_00948	CDS	1092	mnmA_2	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
IJOGNDPK_00949	gene	1512				
IJOGNDPK_00949	CDS	1512				hypothetical protein
IJOGNDPK_00950	gene	1011	pfp_1			
IJOGNDPK_00950	CDS	1011	pfp_1	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
IJOGNDPK_00951	gene	384				
IJOGNDPK_00951	CDS	384				hypothetical protein
IJOGNDPK_00952	gene	735				
IJOGNDPK_00952	CDS	735				hypothetical protein
IJOGNDPK_00953	gene	843	rnc			
IJOGNDPK_00953	CDS	843	rnc	3.1.26.3		Ribonuclease 3
IJOGNDPK_00954	gene	1266	fabF			
IJOGNDPK_00954	CDS	1266	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
IJOGNDPK_00955	gene	237	acpP_1			
IJOGNDPK_00955	CDS	237	acpP_1		COG0236	Acyl carrier protein
IJOGNDPK_00956	gene	564	purN			
IJOGNDPK_00956	CDS	564	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
IJOGNDPK_00957	gene	1044	pdxB			
IJOGNDPK_00957	CDS	1044	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
IJOGNDPK_00958	gene	222				
IJOGNDPK_00958	CDS	222				hypothetical protein
IJOGNDPK_00959	gene	195				
IJOGNDPK_00959	CDS	195				hypothetical protein
IJOGNDPK_00960	gene	1146	mshA_2			
IJOGNDPK_00960	CDS	1146	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
IJOGNDPK_00961	gene	1038	hisC_1			
IJOGNDPK_00961	CDS	1038	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
IJOGNDPK_00962	gene	732				
IJOGNDPK_00962	CDS	732		2.7.7.-	COG1213	CTP:phosphoglutamine cytidylyltransferase
IJOGNDPK_00963	gene	816				
IJOGNDPK_00963	CDS	816				hypothetical protein
IJOGNDPK_00964	gene	345				
IJOGNDPK_00964	CDS	345				hypothetical protein
IJOGNDPK_00965	gene	315				
IJOGNDPK_00965	CDS	315				hypothetical protein
IJOGNDPK_00966	gene	984				
IJOGNDPK_00966	CDS	984				hypothetical protein
IJOGNDPK_00967	gene	999				
IJOGNDPK_00967	CDS	999				hypothetical protein
IJOGNDPK_00968	gene	1431	hldE			
IJOGNDPK_00968	CDS	1431	hldE		COG2870	Bifunctional protein HldE
IJOGNDPK_00969	gene	489	gmhB			
IJOGNDPK_00969	CDS	489	gmhB	3.1.3.83		D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase
IJOGNDPK_00970	gene	582	gmhA			
IJOGNDPK_00970	CDS	582	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
IJOGNDPK_00971	gene	750				
IJOGNDPK_00971	CDS	750				hypothetical protein
IJOGNDPK_00972	gene	1815	ltaS			
IJOGNDPK_00972	CDS	1815	ltaS			Lipoteichoic acid synthase
IJOGNDPK_00973	gene	1065				
IJOGNDPK_00973	CDS	1065				hypothetical protein
IJOGNDPK_00974	gene	1011	arnC_1			
IJOGNDPK_00974	CDS	1011	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
IJOGNDPK_00975	gene	1077				
IJOGNDPK_00975	CDS	1077				hypothetical protein
IJOGNDPK_00976	gene	945				
IJOGNDPK_00976	CDS	945				hypothetical protein
IJOGNDPK_00977	gene	1284				
IJOGNDPK_00977	CDS	1284				hypothetical protein
IJOGNDPK_00978	gene	876				
IJOGNDPK_00978	CDS	876				hypothetical protein
IJOGNDPK_00979	gene	1140	mshA_3			
IJOGNDPK_00979	CDS	1140	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
IJOGNDPK_00980	gene	972	arnC_2			
IJOGNDPK_00980	CDS	972	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
IJOGNDPK_00981	gene	912				
IJOGNDPK_00981	CDS	912				hypothetical protein
IJOGNDPK_00982	gene	624				
IJOGNDPK_00982	CDS	624				hypothetical protein
IJOGNDPK_00983	gene	1977				
IJOGNDPK_00983	CDS	1977				hypothetical protein
IJOGNDPK_00984	gene	141				
IJOGNDPK_00984	CDS	141				hypothetical protein
IJOGNDPK_00985	gene	396				
IJOGNDPK_00985	CDS	396				hypothetical protein
IJOGNDPK_00986	gene	1581				
IJOGNDPK_00986	CDS	1581				hypothetical protein
IJOGNDPK_00987	gene	1839	msbA			
IJOGNDPK_00987	CDS	1839	msbA	7.5.2.6		Lipid A export ATP-binding/permease protein MsbA
IJOGNDPK_00988	gene	1080	iolG_1			
IJOGNDPK_00988	CDS	1080	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
IJOGNDPK_00989	gene	1488	iolG_2			
IJOGNDPK_00989	CDS	1488	iolG_2	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
IJOGNDPK_00990	gene	876				
IJOGNDPK_00990	CDS	876				hypothetical protein
IJOGNDPK_00991	gene	903	iolE			
IJOGNDPK_00991	CDS	903	iolE	4.2.1.44		Inosose dehydratase
IJOGNDPK_00992	gene	636	rnhA			
IJOGNDPK_00992	CDS	636	rnhA	3.1.26.4	COG3341	Ribonuclease H
IJOGNDPK_00993	gene	528	aroK			
IJOGNDPK_00993	CDS	528	aroK	2.7.1.71	COG0703	Shikimate kinase
IJOGNDPK_00994	gene	1893	speA			
IJOGNDPK_00994	CDS	1893	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
IJOGNDPK_00995	gene	771	argB			
IJOGNDPK_00995	CDS	771	argB	2.7.2.8	COG0548	Acetylglutamate kinase
IJOGNDPK_00996	gene	510	sigH			
IJOGNDPK_00996	CDS	510	sigH		COG1595	ECF RNA polymerase sigma factor SigH
IJOGNDPK_00997	gene	483				
IJOGNDPK_00997	CDS	483				hypothetical protein
IJOGNDPK_00998	gene	861				
IJOGNDPK_00998	CDS	861				hypothetical protein
IJOGNDPK_00999	gene	669				
IJOGNDPK_00999	CDS	669				hypothetical protein
IJOGNDPK_01000	gene	399				
IJOGNDPK_01000	CDS	399				hypothetical protein
IJOGNDPK_01001	gene	1689				
IJOGNDPK_01001	CDS	1689				hypothetical protein
IJOGNDPK_01002	gene	4047	rcsC_8			
IJOGNDPK_01002	CDS	4047	rcsC_8	2.7.13.3		Sensor histidine kinase RcsC
IJOGNDPK_01003	gene	3093				
IJOGNDPK_01003	CDS	3093				TonB-dependent receptor P26
IJOGNDPK_01004	gene	1659				
IJOGNDPK_01004	CDS	1659				SusD-like protein
IJOGNDPK_01005	gene	828	gloB_1			
IJOGNDPK_01005	CDS	828	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
IJOGNDPK_01006	gene	4083	rcsC_9			
IJOGNDPK_01006	CDS	4083	rcsC_9	2.7.13.3		Sensor histidine kinase RcsC
IJOGNDPK_01007	gene	219				
IJOGNDPK_01007	CDS	219				hypothetical protein
IJOGNDPK_01008	gene	1662	pnbA			
IJOGNDPK_01008	CDS	1662	pnbA	3.1.1.-	COG2272	Para-nitrobenzyl esterase
IJOGNDPK_01009	gene	3069				
IJOGNDPK_01009	CDS	3069				TonB-dependent receptor P3
IJOGNDPK_01010	gene	1644				
IJOGNDPK_01010	CDS	1644				hypothetical protein
IJOGNDPK_01011	gene	2367	bglB_2			
IJOGNDPK_01011	CDS	2367	bglB_2	3.2.1.21	COG1472	Thermostable beta-glucosidase B
IJOGNDPK_01012	gene	885				
IJOGNDPK_01012	CDS	885				hypothetical protein
IJOGNDPK_01013	gene	1203	axe1-6A_1			
IJOGNDPK_01013	CDS	1203	axe1-6A_1		COG2382	Carbohydrate acetyl esterase/feruloyl esterase
IJOGNDPK_01014	gene	1197	axe1-6A_2			
IJOGNDPK_01014	CDS	1197	axe1-6A_2		COG2382	Carbohydrate acetyl esterase/feruloyl esterase
IJOGNDPK_01015	gene	2343	bglB_3			
IJOGNDPK_01015	CDS	2343	bglB_3	3.2.1.21	COG1472	Thermostable beta-glucosidase B
IJOGNDPK_01016	gene	2490				
IJOGNDPK_01016	CDS	2490		3.2.1.21	COG1472	Beta-glucosidase BoGH3B
IJOGNDPK_01017	gene	1893				
IJOGNDPK_01017	CDS	1893				hypothetical protein
IJOGNDPK_01018	gene	336				
IJOGNDPK_01018	CDS	336				hypothetical protein
IJOGNDPK_01019	gene	135				
IJOGNDPK_01019	CDS	135				hypothetical protein
IJOGNDPK_01020	gene	174				
IJOGNDPK_01020	CDS	174				hypothetical protein
IJOGNDPK_01021	gene	750				
IJOGNDPK_01021	CDS	750				hypothetical protein
IJOGNDPK_01022	gene	468	rimP			
IJOGNDPK_01022	CDS	468	rimP			Ribosome maturation factor RimP
IJOGNDPK_01023	gene	1266	nusA			
IJOGNDPK_01023	CDS	1266	nusA		COG0195	Transcription termination/antitermination protein NusA
IJOGNDPK_01024	gene	3048	infB			
IJOGNDPK_01024	CDS	3048	infB			Translation initiation factor IF-2
IJOGNDPK_01025	gene	507				
IJOGNDPK_01025	CDS	507				hypothetical protein
IJOGNDPK_01026	gene	150				
IJOGNDPK_01026	CDS	150				hypothetical protein
IJOGNDPK_01027	gene	1464	sufB			
IJOGNDPK_01027	CDS	1464	sufB		COG0719	FeS cluster assembly protein SufB
IJOGNDPK_01028	gene	756	sufC			
IJOGNDPK_01028	CDS	756	sufC		COG0396	putative ATP-dependent transporter SufC
IJOGNDPK_01029	gene	1344	sufD			
IJOGNDPK_01029	CDS	1344	sufD		COG0719	FeS cluster assembly protein SufD
IJOGNDPK_01030	gene	1263	sufS			
IJOGNDPK_01030	CDS	1263	sufS	2.8.1.7	COG0520	Cysteine desulfurase
IJOGNDPK_01031	gene	321				
IJOGNDPK_01031	CDS	321				hypothetical protein
IJOGNDPK_01032	gene	372				
IJOGNDPK_01032	CDS	372				hypothetical protein
IJOGNDPK_01033	gene	111				
IJOGNDPK_01033	CDS	111				hypothetical protein
IJOGNDPK_01034	gene	2145	pnp_1			
IJOGNDPK_01034	CDS	2145	pnp_1	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
IJOGNDPK_01035	gene	1152	resA_3			
IJOGNDPK_01035	CDS	1152	resA_3			Thiol-disulfide oxidoreductase ResA
IJOGNDPK_01036	gene	465	greA			
IJOGNDPK_01036	CDS	465	greA		COG0782	Transcription elongation factor GreA
IJOGNDPK_01037	gene	393				
IJOGNDPK_01037	CDS	393			COG0537	putative HIT-like protein
IJOGNDPK_01038	gene	1086	rfbM			
IJOGNDPK_01038	CDS	1086	rfbM	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase RfbM
IJOGNDPK_01039	gene	85				
IJOGNDPK_01039	tRNA	85				tRNA-Leu(caa)
IJOGNDPK_01040	gene	660				
IJOGNDPK_01040	CDS	660				hypothetical protein
IJOGNDPK_01041	gene	516				
IJOGNDPK_01041	CDS	516				hypothetical protein
IJOGNDPK_01042	gene	1155				
IJOGNDPK_01042	CDS	1155				hypothetical protein
IJOGNDPK_01043	gene	978				
IJOGNDPK_01043	CDS	978				hypothetical protein
IJOGNDPK_01044	gene	336				
IJOGNDPK_01044	CDS	336				hypothetical protein
IJOGNDPK_01045	gene	306				
IJOGNDPK_01045	CDS	306				hypothetical protein
IJOGNDPK_01046	gene	960				
IJOGNDPK_01046	CDS	960				hypothetical protein
IJOGNDPK_01047	gene	165				
IJOGNDPK_01047	CDS	165				hypothetical protein
IJOGNDPK_01048	gene	1386				
IJOGNDPK_01048	CDS	1386				hypothetical protein
IJOGNDPK_01049	gene	909				
IJOGNDPK_01049	CDS	909				hypothetical protein
IJOGNDPK_01050	gene	288				
IJOGNDPK_01050	CDS	288				hypothetical protein
IJOGNDPK_01051	gene	1074				
IJOGNDPK_01051	CDS	1074				hypothetical protein
IJOGNDPK_01052	gene	966				
IJOGNDPK_01052	CDS	966				hypothetical protein
IJOGNDPK_01053	gene	384				
IJOGNDPK_01053	CDS	384				hypothetical protein
IJOGNDPK_01054	gene	924				
IJOGNDPK_01054	CDS	924				hypothetical protein
IJOGNDPK_01055	gene	720				
IJOGNDPK_01055	CDS	720				hypothetical protein
IJOGNDPK_01056	gene	333				
IJOGNDPK_01056	CDS	333				hypothetical protein
IJOGNDPK_01057	gene	420				
IJOGNDPK_01057	CDS	420				hypothetical protein
IJOGNDPK_01058	gene	240				
IJOGNDPK_01058	CDS	240				hypothetical protein
IJOGNDPK_01059	gene	252				
IJOGNDPK_01059	CDS	252				hypothetical protein
IJOGNDPK_01060	gene	2292				
IJOGNDPK_01060	CDS	2292				hypothetical protein
IJOGNDPK_01061	gene	669				
IJOGNDPK_01061	CDS	669				hypothetical protein
IJOGNDPK_01062	gene	162				
IJOGNDPK_01062	CDS	162				hypothetical protein
IJOGNDPK_01063	gene	432				
IJOGNDPK_01063	CDS	432				hypothetical protein
IJOGNDPK_01064	gene	564				
IJOGNDPK_01064	CDS	564				hypothetical protein
IJOGNDPK_01065	gene	573				
IJOGNDPK_01065	CDS	573				hypothetical protein
IJOGNDPK_01066	gene	1155	yhcG_1			
IJOGNDPK_01066	CDS	1155	yhcG_1	3.1.-.-	COG4804	Putative nuclease YhcG
IJOGNDPK_01067	gene	1224	xerC_5			
IJOGNDPK_01067	CDS	1224	xerC_5			Tyrosine recombinase XerC
IJOGNDPK_01068	gene	1671				
IJOGNDPK_01068	CDS	1671				hypothetical protein
IJOGNDPK_01069	gene	156				
IJOGNDPK_01069	CDS	156				hypothetical protein
IJOGNDPK_01070	gene	627				
IJOGNDPK_01070	CDS	627				hypothetical protein
IJOGNDPK_01071	gene	225				
IJOGNDPK_01071	CDS	225				hypothetical protein
IJOGNDPK_01072	gene	642				
IJOGNDPK_01072	CDS	642				hypothetical protein
IJOGNDPK_01073	gene	999				
IJOGNDPK_01073	CDS	999				hypothetical protein
IJOGNDPK_01074	gene	198				
IJOGNDPK_01074	CDS	198				hypothetical protein
IJOGNDPK_01075	gene	810				
IJOGNDPK_01075	CDS	810				hypothetical protein
IJOGNDPK_01076	gene	138				
IJOGNDPK_01076	CDS	138				hypothetical protein
IJOGNDPK_01077	gene	1281				
IJOGNDPK_01077	CDS	1281				hypothetical protein
IJOGNDPK_01078	gene	1089				
IJOGNDPK_01078	CDS	1089				hypothetical protein
IJOGNDPK_01079	gene	1095				
IJOGNDPK_01079	CDS	1095				hypothetical protein
IJOGNDPK_01080	gene	444				
IJOGNDPK_01080	CDS	444				hypothetical protein
IJOGNDPK_01081	gene	945				
IJOGNDPK_01081	CDS	945				hypothetical protein
IJOGNDPK_01082	gene	4080	rcsC_10			
IJOGNDPK_01082	CDS	4080	rcsC_10	2.7.13.3		Sensor histidine kinase RcsC
IJOGNDPK_01083	gene	2883				
IJOGNDPK_01083	CDS	2883		3.2.1.177	COG1501	Alpha-xylosidase BoGH31A
IJOGNDPK_01084	gene	2562				
IJOGNDPK_01084	CDS	2562		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
IJOGNDPK_01085	gene	2214				
IJOGNDPK_01085	CDS	2214		3.2.1.21	COG1472	Beta-glucosidase BoGH3A
IJOGNDPK_01086	gene	2463				
IJOGNDPK_01086	CDS	2463				hypothetical protein
IJOGNDPK_01087	gene	1560				
